europe,france,rhone-alpes,Lyon
europe,spain,madrid,Madrid
europe,france,ile-de-france,Paris
europe,france,midi-pyrenees,Toulouse
europe,spain,valencia,Valencia
europe,great-britain,england,London
europe,belgium,_,Bruxelles
europe,hungary,_,Budapest
europe,ireland-and-northern-ireland,_,Dublin
europe,finland,_,Helsinki
europe,ukraine,_,Kyiv
europe,norway,_,Oslo
europe,czech-republic,_,Ostrava
europe,austria,_,Vienna
europe,spain,aragon,Zaragoza
europe,switzerland,_,Zurich
europe,monaco,_,Monte
europe,poland,mazowieckie,Warsaw
europe,poland,dolnoslaskie,Wroclaw
europe,poland,wielkopolskie,Poznan
europe,germany,berlin,Berlin
europe,czech-republic,_,Prague
europe,great-britain,wales,Cardiff
europe,spain,cataluna,Barcelona
europe,spain,andalucia,Seville
europe,italy,nord-ovest,Milano
europe,spain,cataluna,Barcelona
europe,belgium,_,Antwerpen
europe,switzerland,_,Bern
europe,france,aquitaine,Bordeaux
europe,france,provence-alpes-cote-d-azur,Marseille
europe,russia,central-fed-district,Moscow
europe,germany,bayern/oberbayern,Munich
europe,france,pays-de-la-loire,Nantes
europe,czech-republic,_,Brno

